id,topic,sub_topic,study_point
20,FIle Processing,csv - CSV file reading and writing,"For commercial projects, the recommended library to use, instead of csv, is pandas.
"
21,FIle Processing,csv - CSV file reading and writing,"The CSV (Comma Separated Values) format is one of the most popular file formats used to store and transfer data between different programs (including RDBMS and Excel)
"
22,FIle Processing,csv - CSV file reading and writing,"The reader function returns an object that allows you to iterate over each line in the CSV file.
"
23,FIle Processing,csv - CSV file reading and writing,"The newline='' argument added to the open function protects us from incorrect interpretation of the newline character on different platforms.
"
24,FIle Processing,csv - CSV file reading and writing,"The csv module provides a more convenient way to read data, where each line is mapped to an OrderedDict object, using the DictReader class.
"
25,FIle Processing,csv - CSV file reading and writing,"The DictReader class accepts a file object, and it reads the first line as the header to map to keys, if the file does not have a header, the fieldnames argument needs to be specified.
"
26,FIle Processing,csv - CSV file reading and writing,"Saving data to a CSV file is done using the writer function.  The writerow(s) methods take a list of values as an argument, and then saves them as one line in a CSV file.
"
27,FIle Processing,csv - CSV file reading and writing,"The quotechar and quoting arguments within the writer function (and also the reader function) allow you to handle text that would have been confused with your delimiter, options include:
- csv.QUOTE_ALL, csv.QUOTE_NONNUMERIC, csv.QUOTE_NONE
"
28,FIle Processing,csv - CSV file reading and writing,"The DictWriter class maps dictionaries to rows.  Unlike the DictReader class, you have to define a header list.  The writeheader is first called with this list, and then the dictionary rows are passed to the writerow method.
"
29,FIle Processing,configparser - configuration file parser,"It is not a good idea to hardcode logins, passwords or access tokens directly within our code.  A better solution is to use the configuration file, the configparser module is available within the standard library.
"
30,FIle Processing,configparser - configuration file parser,"The DEFAULT section in a configuration file contains the default values that can be read in the other sections of the file.
"
31,FIle Processing,configparser - configuration file parser,"Parsing a configuration file is done utilzing the ConfigParser object, and then the read method.  It can be passed a single config.ini file or a list containing several files.
"
32,FIle Processing,configparser - configuration file parser,"The sections method of the ConfigParser object displays the names of the sections, excluding the DEFAULT section.  Accessing these sections is done in a manner like accessing dictionary keys.  There is a also a get method to achieve this result.
"
33,FIle Processing,configparser - configuration file parser,"The configparser module also houses other methods for reading configuration settings, like the read_dict method, with takes in a dictionary of dictionaries.  The configparser module also has read_file and read_string methods that allow you to read the configuration from an open file or string.
"
34,FIle Processing,configparser - configuration file parser,"Writing to a configuration file requires a write object (using the open method) and also a config object that houses the dictionary of dictionaries key: values.
"
35,FIle Processing,configparser - configuration file parser,"Interpolation allows you to create expressions consisting of a placeholder under which the appropriate value will be substituted.  FORMAT %( )s...
"
36,FIle Processing,sqlite3 - interacting with SQLite databases,"The database management system (DBMS) is responsible for:
- creating a database structure.
- inserting, updating, deleting and searching data.
- ensuring data security.
- transaction management.
- ensuring concurrent access to data for many users.
- enabling data exchange with other database systems.
"
37,FIle Processing,sqlite3 - interacting with SQLite databases,"Sqlite is:
- One of the most popular database management systems in the world.
- A C library, which allows the user to read and write data directly to a file.
- The complete SQL database is store in only one file (no server process).
- The database file is cross-platform, which means it can be copied between 32 and 64 bit systems.

"
38,FIle Processing,sqlite3 - interacting with SQLite databases,"The python library for SQLite is sqlite3, providing an interface compliant with the DB-API specification described by PEP 249.

"
39,FIle Processing,sqlite3 - interacting with SQLite databases,"The connect method returns the database representation as a Connection object.  The connect method only creates a database if it cannot find a database in the given location, if the database exists SQLite connects to it.
"
40,FIle Processing,sqlite3 - interacting with SQLite databases,"SQL (Structured Query Language) is for creating, modifying and managing relational databases.  It is used by the most popular database management systems and the language was developed by IBM in the 1970's.
"
41,FIle Processing,sqlite3 - interacting with SQLite databases,"When a connection object is created, is has a very useful method called cursor.  The method creates a  Cursor object that allows any SQL statements to be executed in the database.
"
42,FIle Processing,sqlite3 - interacting with SQLite databases,"The execute method has an optional argument in the form of an array of parameters, it can take a tuple or a simple array as long as it contains the same number of elements as the query parameters.
"
43,FIle Processing,sqlite3 - interacting with SQLite databases,"The commit method confirms our changes (the current transaction), if you forget to call it your changes won't be visible in the database.
"
44,FIle Processing,sqlite3 - interacting with SQLite databases,"The close method closes the database connection, after inserting all tasks.
"
45,FIle Processing,sqlite3 - interacting with SQLite databases,"The executemany method allows you to insert multiple records at once.  As an argument, it accepts as SQL statement and an array containing any number of tuples.
"
46,FIle Processing,sqlite3 - interacting with SQLite databases,"Reading data saved in the database is done with the well-known Cursor object via a SELECT statement.  After calling the execute method with the appropriate SELECT statement, the Cursor object is treated as an iterator.
"
47,FIle Processing,sqlite3 - interacting with SQLite databases,"If you don't want to treat the Cursor object as an iterator after a SELECT statement, you can use its method called fetchall, the fetchall method is less efficient than the iterator, because it reads all records into the memory and then returns a list of tuples.
"
48,FIle Processing,sqlite3 - interacting with SQLite databases,"In addition to the iterator and the fetchall method, the Cursor object provides a very useful method called fetchone to retrieve the next available record.
"
49,FIle Processing,sqlite3 - interacting with SQLite databases,"The UPDATE statement is used to modify existing records in the database:

UPDATE table_name
SET column = ?
WHERE id = ?;


"
50,FIle Processing,sqlite3 - interacting with SQLite databases,"Delete statement:

DELETE FROM table_name
WHERE condition;

"
51,FIle Processing,logging - basics logging facility for Python,"Logs are most often used to find the cause of an error.  In Python you can store logs in different places, most often it's in the form of a file, but it can also be an output stream or even an external service.
"
52,FIle Processing,logging - basics logging facility for Python,"The getLogger function returns a Logger objectn (the root logger), it is recommended to call the getLogger function with the __name__ argument.  Several calls to the getLogger function with the same name will always return the same object.
"
53,FIle Processing,logging - basics logging facility for Python,"The Logger object allows you to create logs with different levels of logging that help you to distinguish between less important logs and those reporting a serious error.

The levels are NOTSET(0), DEBUG(10), INFO(20), WARNING(30), ERROR(40), CRITICAL(50)
"
54,FIle Processing,logging - basics logging facility for Python,"The basic logging configuration is done using the basicConfig method, with the following arguments:
- level, filename, filemode, format.
"
55,FIle Processing,logging - basics logging facility for Python,"The format we define for a logger is created by combining the attributes of the LogRecord objected separated by a colon.  The LogRecord object is automatically created by the logger during logging.
- Exampe attributes are %(name)s, %(levelname)s, %(asctime)s, %(message)s.
"
56,FIle Processing,logging - basics logging facility for Python,"Each logger can save logs in different locations as well as in different formats.  To do this, you must define your own handler and formatter via the FileHandler and setFormatter methods.
"
57,Working with RESTful APIs,Basic concepts of network programming,"REST: Representational State Transfer

Re - Our machinery stores, transmits and receives representations, the way in which data or states are retained inside the system and presented to users.
S - Using REST you can affect the object's state through the network.
T - The network is able to act as a carrier allowing you to transmit states representations to and from the server.
"
58,Working with RESTful APIs,Basic concepts of network programming,"REST uses a very curious way of representing its data - it's always text. Pure, plain text.
"
59,Working with RESTful APIs,Basic concepts of network programming,"REST is focussed on a very specific kind of data - the data which reflects states.
"
60,Working with RESTful APIs,Basic concepts of network programming,"A socket is a kind of end-point.  An end-point is a point where the data is available to get if from and where the data may be sent to.
"
61,Working with RESTful APIs,Basic concepts of network programming,"BSD (Berkeley Software Distribution) sockets - A universal set of functions suitable for implementation in nearly all operating systems and available in all modern programming languages.  Then became POSIX sockets.
"
62,Working with RESTful APIs,Basic concepts of network programming,"All modern OSs implement BSD sockets in a more or less accurate way.  Despite their differences, the general idea remains the same.
"
63,Working with RESTful APIs,Basic concepts of network programming,"Socket Domain - Unix Domain and Internet Domain (TCP/IP)
Socket Address - IP Address and Port Number
IP address - A 32-bit long value used to identify computers connected to any TCP/IP network.
Socket/service number - A 16-bit long integer number identifying a socket within a particular system.  The HTTP protocol, a carrier of data used by REST, usually uses port 80.
Protocol - A standardized set of rules allowing processes to communicate with each other.
"
64,Working with RESTful APIs,Basic concepts of network programming,"Protocol Stack - Is a multilayer set of cooperating protocols providing a unified repertoire of services.  The TCP/IP protocol stack is designed to cooperate with networks based on the IP protocol (the IP Networks)
"
65,Working with RESTful APIs,Basic concepts of network programming,"The conceptual model of network services describes the protocol stack in a way where the most basic, elementary services are located at the bottom of the stack, while the most advanced and abstractice lie on the top.
"
66,Working with RESTful APIs,Basic concepts of network programming,"The IP (Internetwork Protocol) is one of the lowest parts of TCP/IP protocol stack.  Its functionality is very simple, it is able to send a packet of data (a datagram) between two network nodes.
"
67,Working with RESTful APIs,Basic concepts of network programming,"The TCP (Transmission Control Protocol) is the highest part of the TCP/IP protocol stack.  It uses datagrams (provided by the lower layers) and handshakes (an automated process of synchronizing the flow of data) to construct a reliable communication channel able to transmit and receive single characters.
"
68,Working with RESTful APIs,Basic concepts of network programming,"UDP (User Datagram Protocol) is faster than TCP, but less reliable than TCP.  TCP is a first-choice protocol where data safety is more important than efficiency, UDP is more adequate for applications where response time is crucial.
"
69,Working with RESTful APIs,Basic concepts of network programming,"Connection-oriented communicated - A form of communication which demans some preliminary steps to establish the connection and other steps to finish it. Both sides of the communication are aware that the other party is connected.  (Example Phone Call.)
"
70,Working with RESTful APIs,Basic concepts of network programming,"Connectionless Communication - A communication which can be established ad-hoc.  Both parties have equal rights, but neither parties is aware of the other side's state. (Example Walkie Talkies).  Usually built on top of UDP.
"
71,Working with RESTful APIs,How to use sockets in Python,"Socket Process:
1. Create a new socket.
2. Connect the socket to the HTTP server of a given address.
3. Send a request to the server.
4. Receive the server's response (containing the requested root document).
5. Close the socket.
"
72,Working with RESTful APIs,How to use sockets in Python,"The address in a socket request can be the domain name of the server (www.google.com with no leading HTTP), or it can be the IP address of the server (i.e. 87.98.235.184).  The only issue with utilizing the IP address is that there can be more than one HTTP server located at the same IP address.
"
73,Working with RESTful APIs,How to use sockets in Python,"The socket module is important as it is able to act as a carrier for REST.  TCP/IP is only interesting for us to the extent that it is able to transport HTTP traffic, and HTTP is interesting only to the extent that it is able to act as a carrier for REST.
"
74,Working with RESTful APIs,How to use sockets in Python,"Creating a socket object utilizes the AF_INET Internet socket domain as well as SOCK_STREAM (which specifies the single character device, transfering data byte by byte.)  This is prepared to work on top of TCP protocol, the default socket config.  UDP is a different constructor syntax.
"
75,Working with RESTful APIs,How to use sockets in Python,"The socket connect() method tries to connect your socket to the service of the specified address and port(service) number.  The two values are passed into the method as a tuple.  This is specific to the INET domain, other domains operate differently.
"
76,Working with RESTful APIs,How to use sockets in Python,"A conversation with the HTTP server consists of requests (sent by the client) and reponses (sent by the server)
"
77,Working with RESTful APIs,How to use sockets in Python,"HTTP defines a set of acceptable requests - these are the request methods or HTTP words, the method asking the server to send a particular document of a given name is called GET.
"
78,Working with RESTful APIs,How to use sockets in Python,"The send() method doesn't natively accept strings, that is why the b prefix is used, sample send request:
sock.send(b""GET / HTTP/1.1\r\nHost: ""
                 + bytes(server_addr, ""utf8"")
                 + b""\r\nConnection: close\r\n\r\n"")
"
79,Working with RESTful APIs,How to use sockets in Python,"The recv() method waits for the servers response, gets it, and puts it inside a newly created object of type bytes. The argument specifies the maximal acceptable length of the data to be received, and might need to be invoked till all bytes are received.
"
80,Working with RESTful APIs,How to use sockets in Python,"The parameterless close() method will ensure the connection is fully terminated.
"
81,Working with RESTful APIs,How to use sockets in Python,"The response that is received back has two parts:
- The reponse header, with the status code (ex. 200 for success)
- The document, presented as HTML.
"
82,Working with RESTful APIs,How to use sockets in Python,"Socket Exceptions:
- socket.gaierror thrown by the getaddrinfo() method during server connection.
- socket.timeout, raised when the server's reaction doesn't occur in a reasonable time.  This can be set using a method named settimeout()
"
83,Working with RESTful APIs,Introduction to JSON,"JSON is a kind of universal bridge abe to move data between seemingly imcompatible parties, it is portable and platform independent.  JSON is the answer to a quite basic need, the need to transfer data that is the content of an object or set of objects.
"
84,Working with RESTful APIs,Introduction to JSON,"JSON uses two simple tricks:
- It uses UTF-8 coded text - no machine/platform-dependent formats are used.
- It uses a simple and not very expanded format to represent mutual dependencies and relations between different parts of objects, and is able to transfer not only the values of objects properties, but also their names.
"
85,Working with RESTful APIs,Introduction to JSON,"JSON knows nothing about numbers written using radices different to 10 (i.e. Octal, Hex or Binary)
"
86,Working with RESTful APIs,Introduction to JSON,"JSON strings may look familiar, but there is one important difference, you must not use apostrophes to delimit the text, the only delimiter is a quote.
"
87,Working with RESTful APIs,Introduction to JSON,"JSON strings cannot be split over multiple lines, each string must fit entirely on one line (there can be more than one string on the same line.)
"
88,Working with RESTful APIs,Introduction to JSON,"To represent numbers in JSON feel free to use a minus sign to put negative numbers inside the JSON text.  Don't use a plus sign to show a number is positive, don't use leading zeros. Real numbers in JSON are the same as in Python, including the utilization of scientific notation.
"
89,Working with RESTful APIs,Using the json module in Python,"Python uses a small set of simple rultes to build JSON messages from its native data:
dict --> object
list or tuple --> array
string --> string
int or float --> number
True / False --> true / false
None --> null
"
90,Working with RESTful APIs,Using the json module in Python,"The process in which an object (stored internally by Python) is converted into textual or any other portable aspect is often called serialization. Similarly, the reverse action (from portable into internal) is called deserialization.
"
91,Working with RESTful APIs,Using the json module in Python,"Four main functions in the JSON module:
dumps() - Python object into JSON string.
dump() - Python object into JSON file.
loads() - JSON string into Python object.
load() - JSON file into Python object.
"
92,Working with RESTful APIs,Using the json module in Python,"If a number encoded inside a JSON string doesn't have any fraction part, Python will create an integer number, or a float number otherwise.
"
93,Object Persistence,Shallow and deep copy operatons,"When an assignment statement is being used, the evaluation of the right side of the clause takes precendence over the left side.
"
94,Object Persistence,Shallow and deep copy operatons,"Assignment Statement:
1. An object is created in the computer's memory.  Now the object has an identity.
2. The object is then populated with other objects, now our object has a value.
3. Finally a variable which you should treat as a label or name binding, is created, and this label refers to a distinct place in the computer memory.
"
95,Object Persistence,Shallow and deep copy operatons,"The built-in id() function returns the 'identity' of an object.  This is an integer which is guaranteed to be unique and constant for this object during its lifetime.
- Two objects with non-overlapping lifetimes may have the same id() value.
- Don't treat it as an absolute memory address.
- Do not name a variable id, as it will make the function unreachable.
"
96,Object Persistence,Shallow and deep copy operatons,"When you have two variables referring to the same object, the return values of the id() function must be the same.
"
97,Object Persistence,Shallow and deep copy operatons,"To check whether both operands refer to the same object or not, you should use the 'is' operator.  It responds to the question ""Are both variables referring to the same identity?"".  == is for equal values.
"
98,Object Persistence,Shallow and deep copy operatons,"A compound object is an object than contains other objects like lists, dictionaries or class instances.
"
99,Object Persistence,Shallow and deep copy operatons,"A shallow copy is only one level deep.  The copying process does not recurse and therefore does not create copies of the child objects, but instead populates the object with references to the already existing objects.  This can be achieved via [;] slicing and the copy function of the copy module.
"
100,Object Persistence,Shallow and deep copy operatons,"To make an independent copy of a compound object (list, dictionary, custom class instance) deep copy can be used, which:
- Constructs a new compound object and then recursively inserts copies into it of the objects found in the original.
- Takes more time to complete, as there are many operations to be performed.
- Is implemented by the deepcopy() function, delivered by the python 'copy' module.
"
101,Object Persistence,Shallow and deep copy operatons,"The deepcopy() method creates and persists new instances of source objects, whereas any shallow copy operation only stores referenced to the original memery address.
"
102,Object Persistence,Shallow and deep copy operatons,"A deep copy operation takes significantly more time than any shallow copy operation.
"
103,Object Persistence,Shallow and deep copy operatons,"The deepcopy() method copies the whole object, including the nested objects; it's an example of practical recursion taking place.
"
104,Object Persistence,Shallow and deep copy operatons,"Deep copy might cause problems when there are cyclic references in the structure to be copied.
"
105,Introduction to PEPs,What is PEP?,"PEP outlines the language standards and provides information about many changes and processes related to Python.
"
106,Introduction to PEPs,What is PEP?,"PEP is an acronym for Python Enhancement Proposals, a collection of guidelines, best practices, descriptions of (new) features and implementations, as well as processes, mechanisms and important information surrounding Python.
"
107,Introduction to PEPs,What is PEP?,"If a new feature is planned to be added to Python, it will be detailed in a PEP along with the technical specifications and the rationale for its implementation.
"
108,Introduction to PEPs,What is PEP?,"Three different types of PEP's:
- Standards Track PEPs, which describe the new language features and implementations.
- Information PEPs, which describe Python design issues, as well as provide guidelines and information to the Python community.
- Process PEPs, which describe the various processes that revolve around Python.
"
109,Introduction to PEPs,What is PEP?,"PEPs are primarily addressed to Python Developers and members of the Python community.  They are maintained as text files in a repository, and can be accessed online.
"
110,Introduction to PEPs,What is PEP?,"PEP 1 also defines:
- Python's Steering Council - a five person committee and the final authorities who accept or reject PEPs.
- Python's Core Developers - The group of volunteers who manage Python.
- Python's BDFL - Guido Van Rossum, the original creator of Python, who resigned in 2018.
"
111,Working with RESTful APIs,HTTP made simple -- the request module,"Node.js is an open-source, cross-platform JavaScript run-time environment that executes JavaScript code outside of a brower.  On top of this is json-server - a free and open package.
"
112,Working with RESTful APIs,HTTP made simple -- the request module,"The HTTP protocol operates by using methods.  The HTTP method is a two-way interaction between the client and the server (note: the client initiates the transmission) dedicated to a certain action.  GET is one of them, and is used to convince the server to transfer some resources asked for by the client.
"
113,Working with RESTful APIs,HTTP made simple -- the request module,"A requests function named get() initiates execution of the HTTP GET method and receives the server's response.  The code is simple and compact.  We only need to provide:
- The server's address
- The server port number, the port number can be omitted if equal to 80.
"
114,Working with RESTful APIs,HTTP made simple -- the request module,"The get() function returns a result, it's an object containing all the information describing the GET method's execution.  The most important information is the status_code, other important attributes are:
- Header
- Content
- Text - raw response string.
"
115,Working with RESTful APIs,HTTP made simple -- the request module,"When both the client and the server are aware of the fact that the contents (no matter which part sent them) contain a JSON message, it is also possible to use a method name json().
"
116,Working with RESTful APIs,HTTP made simple -- the request module,"The HTTP protocol defines the following methods:
- GET, if you want the server to give you something.
- POST, is used to transfer a resource, but in the opposite direction, from the client to server.
- PUT, similar to POST, the resource being sent it intended to replace the previously stored data.
- DELETE, to order the server to remove a resource.
"
117,Working with RESTful APIs,HTTP made simple -- the request module,"Other HTTP Methods:
- HEAD
- CONNECT
- OPTIONS
- TRACE
"
118,Working with RESTful APIs,HTTP made simple -- the request module,"The get() function takes one additional argument named timeout.  It's the maximum time (measured in seconds and expressed as a real number) we agree to wait for a server's response.  If the tiime is exceeded, get() will raise an exception names requests.exceptions.Timeout.
"
119,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"A properly trained web server can be a very effective and convenient gateway to very complicated and heavy databases or other services for storing and processing information.
"
120,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"REST was invented for very different programs written in very different technologies that can utilize shared data through one, universal interface.  The interface provided to the user will always look the same.
"
121,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"The REST interface enables the user to perform a basic set of operations - they are elementary, but complex enough to build complex services.
CRUD.
"
122,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"CRUD:
C - Create, POST HTTP method.
R - Read or retrieve, GET HTTP method.
U - Update, PUT HTTP method.
D - Delete, DELETE HTTP method.
"
123,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"The fact that the json-server serves data initially encoded as JSON has absolutely nothing to do with the fact that we will transmit JSON messages between the client (our code) and the server (json-server) . The way the server is used to initialize and store data is actually a black box for us (unless we are implementing the server itself).
"
124,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"The HTTP server is able to transfer virtually any kind of data: text, image, video, sound and many others.  The server reponses header contains a field name Content-Type, that alerts us of this.
"
125,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"If you don't need all the contents of the resource specified during a GET request, you can prepare a specific request via the URI or utilizing parameters.
"
126,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"A particular server may provide some additional facilities, e.g. it may manipulate data before sending it to the client.  The json-server is able to sort items using any of the properties as the sort key.
"
127,Working with RESTful APIs,CRUD -- how to build a simple REST client?,"A server implementing HTTP version 1.1 works in the following manner:
- It waits fort the cleints connection.
- It reads the clients request.
- It sends it response.
- It keeps the connection alive, waiting for the clients next request.
- If the client is inactive for some time, the server silently closes the connection, this means that the client is obliged to set up a new connection again if it wants to send another request.
"
128,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"XML - Extendable Markup Language:
XML is a language, it is not a programming language.  XML is like JSON, a universal and transparent carrier of any type of data.  XML is much older than JSON.  XML seems to be bloated compared to JSON.
"
129,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"XML documents can OPTIONALLY contain:
HEADER, first line that has the version of the XML and the how the text is encoded.
COMMENT, second line that is ignored completely by the XML parser.
DOCTYPE, third line that describes the desired document content. (DTD) Document Type Definition.

"
130,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"The XML document consisits of Elements, each element is marked by a pair of tags, and opening tag and a closing tag.  All the text within the tags is the elements content, or simply elements text.
"
131,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"XML contains a root element, which must occur exactly once inside the XML document.
"
132,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"Elements can also contain attributes, which are reserved for absolute or almost absolute values.  We can put as many attributes inside a tag as we need.
"
133,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"The best model of the XML structure is a tree, which is often called a graph by mathematicians and computer scientists.
"
134,Working with RESTful APIs,Introduction to XML -- Why do we prefer to use JSON?,"JSON is more convenient and last but most important - most currently implemented services uses JSON, not XML.  JSON is much more popular.
"
135,OOP Advanced,Extended fucntion argument syntax,"The two special identifiers (named *args and **kwargs) should be put as the last two parameters in a fumction definition.  Thier names could be changed, because it is just a convention, but it is more important to to sustain the order of the parameters and leading asterisks.
"
136,OOP Advanced,Extended fucntion argument syntax,"*args - referes to a tuple of additional, not explicity expected positional arguments, so arguments passed without keywords and passed next after the expected arguments.  In other words, *args collects all unmatched postional arguments.
"
137,OOP Advanced,Extended fucntion argument syntax,"**kwargs (keyword arguments) - refers to a dictionary of all unexpected arguments that were passed in the form of keyword=value pairs. Likewise, **kwargs collects all unmatched keyword arguments.
"
138,OOP Advanced,Extended fucntion argument syntax,"In Python, asterisks are used to denote that args and kwargs parameters are not ordinary parameters and should be unpacked, as they carry multiple items.
"
139,OOP Advanced,Extended fucntion argument syntax,"Important facts about function arguments;
- Some functions can be invoked without arguents.
- Functions may require a specific number of arguments with no exclusions.
- Functions might have already defined default values for some parameters (keyword parameters).
- We can pass arguments in any order if we are assigning keywords to all argument values, otherwise positional ones are the first ones on the arguments list.
"
140,OOP Advanced,Extended fucntion argument syntax,"When you want to forward arguments received by your very smart and universal function - you do it defined with *args and **kwargs.
"
141,OOP Advanced,Decorators,"A decorator is one of the design patterns that decribes the structure of related objects.  Python is able to decorate functions, methods and classes.
"
142,OOP Advanced,Decorators,"Decorators are used to peform operations before and after a call to a wrapped object or even to prevent its execution, depending on the circumstances.  A decorator can change the operation of the packaged object without directly modifyiing it.
- Decorators are used in: the vaildation of arguments, the modification of arguments, the modification of returned objects, the measurement of execution time, message logging, thread synchronization, code refactorization and caching.
"
143,OOP Advanced,Decorators,"Decorator operations are performed on object names.
The name of the function object ceases to indicate the object representing our function and from that moment on it indicates the object returned by the decorator.
"
144,OOP Advanced,Decorators,"Decorators should be Universal:
- Decorators which should be universal should support any function, regrardless of the number and type of arguments passed.
- In such a situation, we can use the *args and **kwargs concepts and employ the closure technique to persist arguments.
"
145,OOP Advanced,Decorators,"Decorators can accept their own attributes as in Python we can create a decorator with arguments.
"
146,OOP Advanced,Decorators,"Deocrator Stacking - Python allows you to apply multiple decorators to a callable object (function, method or class).  The most important thing to remember is the order in which the decorators are listed in your code, because it determines the order of the executed decorators.
"
147,OOP Advanced,Decorators,"A decorator does not have to be a function, it could be a class that plays the role of a decorator as a function.  It utilizes special methods:
- The __init__ method assigns a decorated function reference to the self.attribute for later use.
- The __call__ method, which is responsible for supporting a case when an object is called, calls a previously referenced function.
"
148,OOP Advanced,Decorators,"The advantage of decorating functions with classes is that the classes bring all the subsidiary they can offer, like inheritance and the ability to create dedicated supportive methods.
"
149,OOP Advanced,Decorators,"Decorators are powerful and useful tools in Python, because they allow programmers to modify the behavior of a function, method or class.
- Decorators allow us to wrap another callable object in order to extend its behavior.
- Decorators rely heavily on closures and *args and **kwargs.
"
150,OOP Advanced,Encapsulation,"Attribute encapsulation describes the idea of bundling attributes and methods that work on those attributes within a class.
"
151,OOP Advanced,Encapsulation,"Encapsulation is used to hide attributes inside a class like in a capsule, preventing unauthorized parties' direct access to them.  Publicly accessible methods are provided in the class to access the values, and other objects call those methods to retrieve and modify the values within the object.
"
152,OOP Advanced,Encapsulation,"Python introduces the concept of properties that act like proxies to encapsulated attributes:
- The code calling the proxy methods might not realize if it is talking to the real attributes or to the methods controlling the access to the attributes.
- You can change your class implementation from a class that allows simple and direct access to attributes and the consumer implementation does not have to be changed.
"
153,OOP Advanced,Encapsulation,"Attribute encapsulation is not full access control, the programmer can still get access to your attributes intentionally as Python does not deliver true privacy.  If your code does intentionally access the attributes marked as private in a direct way, it truly is not Pythonic code.
"
154,OOP Advanced,Encapsulation,"Python allows you to control access to attributes with the built in property() function and corresponding decorator @property.
- It designates a method which will be called automatically when another object wants to read the encapsulated value.
- The name of the method will be used as the name of the instance attribute.
- It should be defined before the @attribute.setter and @attribute.deleter methods.
"
155,OOP Advanced,Encapsulation,"Whenever you'd like to control access to an attribute, you should prepare dedicated properties, becuase properties control only designated attributes.  Properties are also inherited, so you can call setters as if they were attributes.
"
156,OOP Advanced,Different faces of Python methods,"Class Methods and Static Methods:
- Should be understood as tool methods, extending our ability to use classes, not necessarily requiring the creation of class instances to use them.
"
157,OOP Advanced,Different faces of Python methods,"Class methods are methods that, like class variables, work on the class itself, and not on the class objects that are instantiated.  They are methods bound to the class, not to the object.
- They can control access to the class variables.
- They can be utilized to create a class instance in an alternative way, so the class method can be impemented by an alternative constructor.
"
158,OOP Advanced,Different faces of Python methods,"Static Methods are methods that do not require (and do not expect!) a parameter indicating the class object or the class itself in order to execute their code:
- It can be used when you need a utility method that comes in a class because it is semantically related, but does not require an object of that class to execute its code.
- Also, when the static method does not need to know that state of the objects or classes.
"
159,OOP Advanced,Different faces of Python methods,"Static Methods do not have the ability to modify the state of objects or classes, because they lack the parameters that would allow this.
"
